height,weight,chest_circ,tshirt_size,color
1715,842,105.9,Large,lawngreen
1525,558,85.2,Extra Small,yellow
1650,983,114.2,X-Large,green
1537,535,87.0,Extra Small,yellow
1568,581,88.0,Extra Small,yellow
1569,684,89.2,Extra Small,yellow
1711,725,95.7,Medium,blue
1639,757,107.0,Large,lawngreen
1638,733,96.2,Medium,blue
1756,704,93.0,Small,red
1618,590,89.5,Extra Small,yellow
1745,835,105.0,Large,lawngreen
1569,635,92.5,Small,red
1668,546,89.5,Extra Small,yellow
1619,610,89.5,Extra Small,yellow
1657,820,110.1,Large,lawngreen
1628,685,91.0,Small,red
1660,574,90.3,Small,red
1683,616,87.8,Extra Small,yellow
1672,678,84.6,Extra Small,yellow
1623,558,83.6,2X-Small,pink
1672,588,87.0,Extra Small,yellow
1619,591,86.9,Extra Small,yellow
1558,511,79.4,2X-Small,pink
1649,591,84.5,Extra Small,yellow
1730,671,88.0,Extra Small,yellow
1527,522,84.3,Extra Small,yellow
1670,565,83.8,2X-Small,pink
1583,774,107.7,Large,lawngreen
1643,730,96.3,Medium,blue
1717,669,101.2,Medium,blue
1623,718,100.0,Medium,blue
1630,594,86.0,Extra Small,yellow
1710,680,92.5,Small,red
1730,779,100.2,Medium,blue
1725,695,96.0,Medium,blue
1680,755,95.7,Medium,blue
1682,645,92.2,Small,red
1680,843,115.7,X-Large,green
1829,688,91.5,Small,red
1675,643,88.5,Extra Small,yellow
1727,689,104.0,Large,lawngreen
1615,651,100.3,Medium,blue
1497,460,83.7,2X-Small,pink
1613,610,87.1,Extra Small,yellow
1771,925,111.5,Large,lawngreen
1588,666,92.4,Small,red
1736,821,99.7,Medium,blue
1664,591,87.0,Extra Small,yellow
1584,722,102.5,Large,lawngreen
1712,770,100.6,Medium,blue
1658,617,87.6,Extra Small,yellow
1646,685,93.3,Small,red
1723,689,96.6,Medium,blue
1578,587,90.0,Small,red
1671,742,104.0,Large,lawngreen
1580,820,104.5,Large,lawngreen
1584,557,92.5,Small,red
1670,648,97.5,Medium,blue
1585,566,91.0,Small,red
1638,584,95.2,Medium,blue
1589,599,90.7,Small,red
1659,785,108.9,Large,lawngreen
1550,654,94.3,Small,red
